Crop_Type,Rainfall_mm,Temperature_C,Humidity_pct,Nitrogen,Phosphorus,Potassium,pH,Area_ha,Season,Irrigation_Type,Yield_ton_per_ha
Cotton,735.1,,58.6,123.3,46.2,9.6,5.15,0.91,Zaid,Drip,2.57
Sugarcane,1122.3,27.4,70.1,38.7,44.7,26.4,7.86,3.9,Kharif,Sprinkler,38.66
Maize,1092.4,23.0,68.9,105.6,77.9,58.0,6.67,10.52,Kharif,Flood,
Sugarcane,1896.6,29.1,79.8,95.2,99.3,34.8,5.94,7.99,Rabi,Flood,97.39
Sugarcane,1353.7,32.5,79.4,62.7,62.2,71.4,5.99,10.5,Kharif,Rainfed,67.25
Wheat,502.5,13.3,57.8,85.3,67.9,15.0,7.11,6.59,Rabi,Sprinkler,3.96
Maize,727.6,25.9,73.2,27.0,97.1,52.6,5.44,1.93,Rabi,Flood,4.7
Maize,801.6,27.9,57.5,90.2,,22.5,5.17,1.22,Kharif,Sprinkler,5.88
Maize,832.2,26.0,75.3,114.7,60.6,96.2,5.32,2.68,Rabi,Drip,8.32
Sugarcane,1059.0,34.0,63.1,68.8,93.7,38.2,6.53,1.31,Rabi,Flood,60.07
Cotton,982.6,34.9,40.1,133.7,65.7,96.1,6.32,10.55,Rabi,Sprinkler,3.15
Maize,715.6,18.4,71.1,36.2,69.0,106.8,4.88,13.62,Rabi,Rainfed,4.93
Soybean,564.9,29.6,66.5,137.2,40.6,6.8,5.48,16.7,Zaid,Flood,2.67
Sugarcane,2378.0,31.9,75.0,132.3,83.5,75.0,6.81,7.3,Rabi,Drip,94.67
Wheat,459.1,19.9,66.0,139.1,76.5,14.5,5.65,2.63,Rabi,Rainfed,4.9
Cotton,658.6,33.8,61.7,58.8,33.2,73.2,5.81,12.79,Rabi,Sprinkler,2.34
Soybean,,25.6,63.7,87.5,56.8,51.7,4.56,11.95,Rabi,Drip,2.75
Soybean,838.5,23.8,63.0,72.3,7.4,40.8,6.02,8.28,Kharif,Sprinkler,3.1
Wheat,604.0,18.9,62.9,115.7,73.2,105.3,4.57,4.32,Zaid,Flood,5.27
Cotton,963.5,27.4,41.5,131.5,38.4,15.6,6.44,5.51,Rabi,Sprinkler,2.76
Sugarcane,1798.4,33.9,74.5,21.7,,47.0,8.41,16.55,Rabi,Sprinkler,55.87
Rice,1752.1,25.0,65.6,129.3,45.3,14.1,7.76,7.78,Kharif,Drip,5.0
Cotton,501.3,26.1,55.9,77.0,61.4,88.3,7.09,3.91,Kharif,Rainfed,2.38
Wheat,427.8,19.2,49.1,105.2,85.9,75.5,7.74,15.45,Rabi,Rainfed,4.79
Soybean,518.8,24.2,55.9,123.0,49.9,61.2,5.21,6.59,Zaid,Flood,3.39
Sugarcane,1948.0,23.9,61.5,28.4,31.1,67.7,7.2,9.13,Kharif,Sprinkler,61.41
Cotton,507.9,32.2,48.5,116.4,62.3,40.4,8.12,15.57,Kharif,Rainfed,1.72
Rice,1212.3,25.7,,67.5,84.0,75.3,4.78,12.98,Rabi,Flood,5.75
Rice,1439.5,28.5,69.7,53.3,68.6,109.4,7.15,11.38,Rabi,Sprinkler,6.72
Maize,1170.3,24.7,55.3,99.7,24.1,61.3,4.89,9.28,Kharif,Flood,4.76
Maize,1056.8,26.0,77.8,40.5,42.9,21.0,8.47,18.58,Kharif,Rainfed,2.97
Wheat,694.0,15.3,65.9,89.1,53.1,21.7,4.75,2.79,Zaid,Drip,3.52
Cotton,690.5,28.4,48.7,41.1,53.4,91.7,5.62,18.88,Rabi,Sprinkler,2.72
Cotton,783.3,30.7,49.8,75.1,42.7,61.7,7.01,13.65,Rabi,Drip,2.77
Soybean,513.6,27.2,55.3,116.4,35.6,7.4,5.12,4.86,Rabi,Flood,2.57
Soybean,665.7,25.8,57.8,88.8,18.2,,7.82,6.69,Zaid,Rainfed,2.98
Soybean,749.8,28.3,53.0,72.2,53.1,29.4,4.82,15.65,Kharif,Sprinkler,1.87
Maize,948.6,19.3,56.5,90.5,66.8,21.0,4.75,15.72,Rabi,Rainfed,4.45
Cotton,997.4,25.6,41.4,100.4,98.4,30.1,5.07,2.87,Rabi,Drip,2.42
Cotton,754.7,25.6,,115.8,63.4,37.2,7.0,10.78,Zaid,Drip,2.91
Rice,1863.9,23.3,73.5,35.3,39.9,48.5,7.81,14.81,Rabi,Rainfed,2.88
Maize,513.4,23.8,57.8,108.8,18.0,61.2,5.36,0.74,Rabi,Rainfed,4.8
Sugarcane,2202.3,34.6,84.0,73.4,15.4,62.5,6.32,16.96,Zaid,Rainfed,51.0
Maize,1016.1,21.9,64.3,58.9,42.5,53.2,7.64,17.9,Kharif,Flood,4.98
Sugarcane,1473.1,31.8,77.2,66.9,,93.3,4.65,18.08,Kharif,Flood,68.6
Rice,1564.0,31.0,78.4,18.7,54.2,20.8,7.45,10.49,Kharif,Flood,3.82
